Source	Target	Type
101379290	bom	Undirected
101379290	gente	Undirected
101379290	gostosa	Undirected
101379290	guria	Undirected
101379290	mt	Undirected
101379290	tudo	Undirected
101379290	é	Undirected
101569103	#fb	Undirected
101569103	buenos	Undirected
101569103	días	Undirected
101677055	coca	Undirected
101677055	cola	Undirected
101677055	sediento	Undirected
101677055	ultima	Undirected
1017988466	tiempo	Undirected
1017988466	toques	Undirected
1019039480	calle	Undirected
1019039480	crack	Undirected
1019039480	dura	Undirected
101940422	arroz	Undirected
101940422	caldero	Undirected
101940422	camarón	Undirected
101940422	chipi	Undirected
101940422	frita	Undirected
101940422	ganaoooooo	Undirected
101940422	mojarra	Undirected
101940422	salgo	Undirected
101940422	🎶	Undirected
1020341034	asquito	Undirected
1020341034	bro	Undirected
1020341034	imaginación	Undirected
1020341034	jajajajaj	Undirected
1020341034	jajajak	Undirected
1020341034	puto	Undirected
1020341034	tweet	Undirected
1020341034	👆	Undirected
102159162	???	Undirected
102159162	@ameliachpsuv	Undirected
102159162	gente	Undirected
102159162	gobernador	Undirected
102159162	habitantes	Undirected
102159162	luz	Undirected
102159162	noche	Undirected
102159162	q	Undirected
102159162	situación	Undirected
102159162	solo	Undirected
102159162	verifique	Undirected
1026911341	#kcamexico	Undirected
1026911341	#sebastianvillalobosvideo	Undirected
1026911341	#sebastianvillalobosyoutuber	Undirected
1026911341	buenas	Undirected
1026911341	noches	Undirected
1027354242	error	Undirected
1027354242	joder	Undirected
1027354242	mal	Undirected
1027354242	rotos	Undirected
1027354242	v	Undirected
1027354242	😡	Undirected
102769344	hermosiento	Undirected
102833442	aaaaaaaaaaaa	Undirected
102833442	gritar	Undirected
102833442	malandros	Undirected
102833442	marico	Undirected
102833442	mind	Undirected
102833442	sleep	Undirected
102833442	trying	Undirected
102835719	morbo	Undirected
1029388279	conseguindo	Undirected
1029388279	num	Undirected
1029388279	to	Undirected
1029839803	amigos	Undirected
1029839803	corazón	Undirected
1029839803	corazónnnnnnnnnnnnnnnnn	Undirected
1029839803	culpa	Undirected
1029839803	décima	Undirected
1029839803	existencial	Undirected
1029839803	gasssss	Undirected
1029839803	grupito	Undirected
1029839803	horrible	Undirected
1029839803	ojeras	Undirected
1029839803	olvidaras	Undirected
1029839803	pasión	Undirected
1029839803	penasssssssssssssssss	Undirected
1029839803	profesor	Undirected
1029839803	química	Undirected
103134635	barrio	Undirected
103367522	deposito	Undirected
103455764	actitud	Undirected
103455764	ganas	Undirected
1037830688	señal	Undirected
1037830688	vida	Undirected
104016946	alta	Undirected
104016946	brava	Undirected
104016946	limón	Undirected
104016946	pie	Undirected
104016946	pizza	Undirected
104016946	plaza	Undirected
104016946	🍰	Undirected
104044502	firmas	Undirected
104044502	validacion	Undirected
104044502	👏	Undirected
104044502	💙	Undirected
104332457	bebida	Undirected
104652387	@moshinoguy	Undirected
104652387	dependiente	Undirected
104652387	determinación	Undirected
104652387	ge	Undirected
104652387	hazlo	Undirected
104652387	jajaja	Undirected
104652387	jajajajajajja	Undirected
104652387	steps	Undirected
1046610404	carlos	Undirected
1046610404	now	Undirected
104834449	#blessed	Undirected
104834449	abdomen	Undirected
104834449	acciones	Undirected
104834449	agradecida	Undirected
104834449	bella	Undirected
104834449	cierta	Undirected
104834449	comes	Undirected
104834449	dios	Undirected
104834449	flaca	Undirected
104834449	frase	Undirected
104834449	fray	Undirected
104834449	full	Undirected
104834449	is	Undirected
104834449	look	Undirected
104834449	make	Undirected
104834449	momento	Undirected
