A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
Kansas,Alaska,Margin of Error,37
Kansas,Arizona,Estimate,185
Kansas,Arizona,Margin of Error,86
Kansas,Arkansas,Estimate,305
Kansas,Arkansas,Margin of Error,121
Kansas,California,Estimate,760
Kansas,California,Margin of Error,187
Kansas,Colorado,Estimate,590
Kansas,Colorado,Margin of Error,121
Kansas,Connecticut,Estimate,20
Kansas,Connecticut,Margin of Error,26
Kansas,District of Columbia,Estimate,120
Kansas,District of Columbia,Margin of Error,71
Kansas,Florida,Estimate,200
Kansas,Florida,Margin of Error,94
Kansas,Georgia,Estimate,240
Kansas,Georgia,Margin of Error,92
Kansas,Illinois,Estimate,680
Kansas,Illinois,Margin of Error,172
Kansas,Indiana,Estimate,190
Kansas,Indiana,Margin of Error,92
Kansas,Iowa,Estimate,355
Kansas,Iowa,Margin of Error,127
Kansas,Kansas,Estimate,"1,272,590"
Kansas,Kansas,Margin of Error,"4,396"
Kansas,Kentucky,Estimate,110
Kansas,Kentucky,Margin of Error,74
Kansas,Louisiana,Estimate,120
Kansas,Louisiana,Margin of Error,66
Kansas,Maryland,Estimate,240
Kansas,Maryland,Margin of Error,122
Kansas,Massachusetts,Estimate,65
Kansas,Massachusetts,Margin of Error,47
Kansas,Michigan,Estimate,75
Kansas,Michigan,Margin of Error,48
Kansas,Minnesota,Estimate,175
Kansas,Minnesota,Margin of Error,82
Kansas,Mississippi,Estimate,45
Kansas,Mississippi,Margin of Error,40
Kansas,Missouri,Estimate,"87,350"
Kansas,Missouri,Margin of Error,"1,876"
Kansas,Montana,Estimate,45
Kansas,Montana,Margin of Error,33
Kansas,Nebraska,Estimate,"1,535"
Kansas,Nebraska,Margin of Error,228
Kansas,Nevada,Estimate,30
Kansas,Nevada,Margin of Error,26
Kansas,New Hampshire,Estimate,10
Kansas,New Hampshire,Margin of Error,18
Kansas,New Jersey,Estimate,125
Kansas,New Jersey,Margin of Error,84
Kansas,New Mexico,Estimate,105
Kansas,New Mexico,Margin of Error,73
Kansas,New York,Estimate,140
Kansas,New York,Margin of Error,58
Kansas,North Carolina,Estimate,125
Kansas,North Carolina,Margin of Error,58
Kansas,North Dakota,Estimate,60
Kansas,North Dakota,Margin of Error,41
Kansas,Ohio,Estimate,40
Kansas,Ohio,Margin of Error,31
Kansas,Oklahoma,Estimate,"4,615"
Kansas,Oklahoma,Margin of Error,481
Kansas,Oregon,Estimate,50
Kansas,Oregon,Margin of Error,44
Kansas,Pennsylvania,Estimate,130
Kansas,Pennsylvania,Margin of Error,85
Kansas,Rhode Island,Estimate,10
Kansas,Rhode Island,Margin of Error,19
Kansas,South Carolina,Estimate,50
Kansas,South Carolina,Margin of Error,37
Kansas,South Dakota,Estimate,50
Kansas,South Dakota,Margin of Error,43
Kansas,Tennessee,Estimate,160
Kansas,Tennessee,Margin of Error,81
Kansas,Texas,Estimate,"1,560"
Kansas,Texas,Margin of Error,267
Kansas,Utah,Estimate,45
Kansas,Utah,Margin of Error,35
Kansas,Virginia,Estimate,145
Kansas,Virginia,Margin of Error,63
Kansas,Washington,Estimate,50
Kansas,Washington,Margin of Error,46
Kansas,West Virginia,Estimate,35
Kansas,West Virginia,Margin of Error,40
Kansas,Wisconsin,Estimate,70
Kansas,Wisconsin,Margin of Error,46
Kansas,Wyoming,Estimate,105
Kansas,Wyoming,Margin of Error,59
Kentucky,Alabama,Estimate,485
Kentucky,Alabama,Margin of Error,160
Kentucky,Alaska,Estimate,60
Kentucky,Alaska,Margin of Error,42
Kentucky,Arizona,Estimate,70
Kentucky,Arizona,Margin of Error,48
Kentucky,Arkansas,Estimate,230
Kentucky,Arkansas,Margin of Error,101
Kentucky,California,Estimate,295
Kentucky,California,Margin of Error,93
Kentucky,Colorado,Estimate,70
Kentucky,Colorado,Margin of Error,39
Kentucky,Connecticut,Estimate,70
Kentucky,Connecticut,Margin of Error,54
Kentucky,Delaware,Estimate,15
Kentucky,Delaware,Margin of Error,23
Kentucky,District of Columbia,Estimate,70
Kentucky,District of Columbia,Margin of Error,52
Kentucky,Florida,Estimate,765
Kentucky,Florida,Margin of Error,199
Kentucky,Georgia,Estimate,525
Kentucky,Georgia,Margin of Error,133
Kentucky,Idaho,Estimate,15
Kentucky,Idaho,Margin of Error,27
Kentucky,Illinois,Estimate,"2,810"
Kentucky,Illinois,Margin of Error,376
Kentucky,Indiana,Estimate,"26,200"
Kentucky,Indiana,Margin of Error,972
Kentucky,Iowa,Estimate,235
Kentucky,Iowa,Margin of Error,118
Kentucky,Kansas,Estimate,115
Kentucky,Kansas,Margin of Error,67
Kentucky,Kentucky,Estimate,"1,719,240"
Kentucky,Kentucky,Margin of Error,"5,505"
Kentucky,Louisiana,Estimate,280
Kentucky,Louisiana,Margin of Error,101
Kentucky,Maine,Estimate,15
Kentucky,Maine,Margin of Error,24
Kentucky,Maryland,Estimate,310
Kentucky,Maryland,Margin of Error,98
Kentucky,Massachusetts,Estimate,85
Kentucky,Massachusetts,Margin of Error,61
Kentucky,Michigan,Estimate,405
Kentucky,Michigan,Margin of Error,112
Kentucky,Minnesota,Estimate,155
Kentucky,Minnesota,Margin of Error,75
Kentucky,Mississippi,Estimate,205
Kentucky,Mississippi,Margin of Error,103
Kentucky,Missouri,Estimate,570
Kentucky,Missouri,Margin of Error,140
Kentucky,Montana,Estimate,40
Kentucky,Montana,Margin of Error,50
Kentucky,Nebraska,Estimate,45
Kentucky,Nebraska,Margin of Error,36
Kentucky,Nevada,Estimate,45
Kentucky,Nevada,Margin of Error,36
Kentucky,New Hampshire,Estimate,65
Kentucky,New Hampshire,Margin of Error,75
Kentucky,New Jersey,Estimate,145
Kentucky,New Jersey,Margin of Error,63
Kentucky,New Mexico,Estimate,4
Kentucky,New Mexico,Margin of Error,9
Kentucky,New York,Estimate,430
Kentucky,New York,Margin of Error,153
Kentucky,North Carolina,Estimate,635
Kentucky,North Carolina,Margin of Error,201
Kentucky,North Dakota,Estimate,15
Kentucky,North Dakota,Margin of Error,16
Kentucky,Ohio,Estimate,"60,670"
Kentucky,Ohio,Margin of Error,"1,320"
Kentucky,Oklahoma,Estimate,125
Kentucky,Oklahoma,Margin of Error,81
Kentucky,Oregon,Estimate,75
Kentucky,Oregon,Margin of Error,60
Kentucky,Pennsylvania,Estimate,395
Kentucky,Pennsylvania,Margin of Error,122
Kentucky,Rhode Island,Estimate,20
Kentucky,Rhode Island,Margin of Error,33
Kentucky,South Carolina,Estimate,260
Kentucky,South Carolina,Margin of Error,105
Kentucky,South Dakota,Estimate,15
Kentucky,South Dakota,Margin of Error,28
Kentucky,Tennessee,Estimate,"13,345"
Kentucky,Tennessee,Margin of Error,876
Kentucky,Texas,Estimate,650
Kentucky,Texas,Margin of Error,161
Kentucky,Utah,Estimate,110
Kentucky,Utah,Margin of Error,73
Kentucky,Virginia,Estimate,"1,470"
Kentucky,Virginia,Margin of Error,243
Kentucky,Washington,Estimate,55
Kentucky,Washington,Margin of Error,43
Kentucky,West Virginia,Estimate,"6,180"
Kentucky,West Virginia,Margin of Error,638
Kentucky,Wisconsin,Estimate,260
Kentucky,Wisconsin,Margin of Error,114
Kentucky,Wyoming,Estimate,20
Kentucky,Wyoming,Margin of Error,25
Louisiana,Alabama,Estimate,790
Louisiana,Alabama,Margin of Error,209
Louisiana,Alaska,Estimate,230
Louisiana,Alaska,Margin of Error,119
Louisiana,Arizona,Estimate,110
Louisiana,Arizona,Margin of Error,65
Louisiana,Arkansas,Estimate,"3,055"
Louisiana,Arkansas,Margin of Error,371
Louisiana,California,Estimate,720
Louisiana,California,Margin of Error,179
Louisiana,Colorado,Estimate,175
Louisiana,Colorado,Margin of Error,90
Louisiana,Connecticut,Estimate,15
Louisiana,Connecticut,Margin of Error,24
Louisiana,District of Columbia,Estimate,115
Louisiana,District of Columbia,Margin of Error,79
Louisiana,Florida,Estimate,720
Louisiana,Florida,Margin of Error,186
Louisiana,Georgia,Estimate,655
Louisiana,Georgia,Margin of Error,172
Louisiana,Hawaii,Estimate,55
Louisiana,Hawaii,Margin of Error,64
Louisiana,Idaho,Estimate,10
Louisiana,Idaho,Margin of Error,15
Louisiana,Illinois,Estimate,500
Louisiana,Illinois,Margin of Error,179
Louisiana,Indiana,Estimate,70
Louisiana,Indiana,Margin of Error,55
Louisiana,Iowa,Estimate,40
Louisiana,Iowa,Margin of Error,34
Louisiana,Kansas,Estimate,195
Louisiana,Kansas,Margin of Error,97
Louisiana,Kentucky,Estimate,130
Louisiana,Kentucky,Margin of Error,67
Louisiana,Louisiana,Estimate,"1,873,325"
Louisiana,Louisiana,Margin of Error,"6,194"
Louisiana,Maryland,Estimate,50
Louisiana,Maryland,Margin of Error,35
Louisiana,Massachusetts,Estimate,115
Louisiana,Massachusetts,Margin of Error,70
Louisiana,Michigan,Estimate,130
Louisiana,Michigan,Margin of Error,65
Louisiana,Minnesota,Estimate,225
Louisiana,Minnesota,Margin of Error,101
Louisiana,Mississippi,Estimate,"9,790"
Louisiana,Mississippi,Margin of Error,714
Louisiana,Missouri,Estimate,390
Louisiana,Missouri,Margin of Error,135
Louisiana,Montana,Estimate,40
Louisiana,Montana,Margin of Error,43
Louisiana,Nebraska,Estimate,60
Louisiana,Nebraska,Margin of Error,46
Louisiana,Nevada,Estimate,85
Louisiana,Nevada,Margin of Error,48
Louisiana,New Jersey,Estimate,210
Louisiana,New Jersey,Margin of Error,105
Louisiana,New Mexico,Estimate,65
Louisiana,New Mexico,Margin of Error,69
Louisiana,New York,Estimate,310
Louisiana,New York,Margin of Error,127
Louisiana,North Carolina,Estimate,185
Louisiana,North Carolina,Margin of Error,119
Louisiana,North Dakota,Estimate,50
Louisiana,North Dakota,Margin of Error,43
Louisiana,Ohio,Estimate,250
Louisiana,Ohio,Margin of Error,83
Louisiana,Oklahoma,Estimate,490
Louisiana,Oklahoma,Margin of Error,179
Louisiana,Oregon,Estimate,55
Louisiana,Oregon,Margin of Error,61
Louisiana,Pennsylvania,Estimate,285
Louisiana,Pennsylvania,Margin of Error,123
Louisiana,South Carolina,Estimate,105
Louisiana,South Carolina,Margin of Error,56
Louisiana,Tennessee,Estimate,350
Louisiana,Tennessee,Margin of Error,135
Louisiana,Texas,Estimate,"15,845"
Louisiana,Texas,Margin of Error,941
Louisiana,Utah,Estimate,95
Louisiana,Utah,Margin of Error,84
Louisiana,Vermont,Estimate,10
Louisiana,Vermont,Margin of Error,13
Louisiana,Virginia,Estimate,290
Louisiana,Virginia,Margin of Error,111
Louisiana,Washington,Estimate,70
Louisiana,Washington,Margin of Error,51
Louisiana,West Virginia,Estimate,65
Louisiana,West Virginia,Margin of Error,58
Louisiana,Wisconsin,Estimate,270
Louisiana,Wisconsin,Margin of Error,123
Louisiana,Wyoming,Estimate,85
Louisiana,Wyoming,Margin of Error,72
Louisiana,Puerto Rico,Estimate,10
Louisiana,Puerto Rico,Margin of Error,15
Maine,Alabama,Estimate,10
Maine,Alabama,Margin of Error,15
Maine,Alaska,Estimate,40
Maine,Alaska,Margin of Error,38
Maine,Arizona,Estimate,15
Maine,Arizona,Margin of Error,21
Maine,Arkansas,Estimate,15
Maine,Arkansas,Margin of Error,19
Maine,California,Estimate,200
Maine,California,Margin of Error,65
Maine,Colorado,Estimate,30
Maine,Colorado,Margin of Error,25
Maine,Connecticut,Estimate,470
Maine,Connecticut,Margin of Error,148
Maine,Delaware,Estimate,20
Maine,Delaware,Margin of Error,26
Maine,District of Columbia,Estimate,135
Maine,District of Columbia,Margin of Error,64
Maine,Florida,Estimate,310
Maine,Florida,Margin of Error,138
Maine,Georgia,Estimate,95
Maine,Georgia,Margin of Error,57
Maine,Hawaii,Estimate,20
Maine,Hawaii,Margin of Error,22
Maine,Illinois,Estimate,115
Maine,Illinois,Margin of Error,80
Maine,Indiana,Estimate,4
Maine,Indiana,Margin of Error,16
Maine,Kentucky,Estimate,35
Maine,Kentucky,Margin of Error,34
Maine,Louisiana,Estimate,35
Maine,Louisiana,Margin of Error,22
Maine,Maine,Estimate,"615,020"
Maine,Maine,Margin of Error,"2,867"
Maine,Maryland,Estimate,115
Maine,Maryland,Margin of Error,62
Maine,Massachusetts,Estimate,"4,825"
Maine,Massachusetts,Margin of Error,322
Maine,Michigan,Estimate,80
Maine,Michigan,Margin of Error,46
Maine,Mississippi,Estimate,4
Maine,Mississippi,Margin of Error,15
Maine,Missouri,Estimate,40
Maine,Missouri,Margin of Error,44
Maine,Montana,Estimate,25
Maine,Montana,Margin of Error,28
Maine,Nebraska,Estimate,4
Maine,Nebraska,Margin of Error,104
Maine,Nevada,Estimate,15
Maine,Nevada,Margin of Error,29
Maine,New Hampshire,Estimate,"17,460"
Maine,New Hampshire,Margin of Error,765
Maine,New Jersey,Estimate,250
Maine,New Jersey,Margin of Error,98
Maine,New Mexico,Estimate,15
Maine,New Mexico,Margin of Error,16
Maine,New York,Estimate,745
Maine,New York,Margin of Error,197
Maine,North Carolina,Estimate,50
Maine,North Carolina,Margin of Error,36
Maine,North Dakota,Estimate,10
Maine,North Dakota,Margin of Error,16
Maine,Ohio,Estimate,70
Maine,Ohio,Margin of Error,41
Maine,Oklahoma,Estimate,10
Maine,Oklahoma,Margin of Error,13
Maine,Oregon,Estimate,10
Maine,Oregon,Margin of Error,14
Maine,Pennsylvania,Estimate,145
Maine,Pennsylvania,Margin of Error,81
Maine,Rhode Island,Estimate,180
Maine,Rhode Island,Margin of Error,83
Maine,South Carolina,Estimate,30
Maine,South Carolina,Margin of Error,44
Maine,Tennessee,Estimate,30
Maine,Tennessee,Margin of Error,25
Maine,Texas,Estimate,115
Maine,Texas,Margin of Error,69
Maine,Vermont,Estimate,155
Maine,Vermont,Margin of Error,78
Maine,Virginia,Estimate,135
Maine,Virginia,Margin of Error,60
Maine,Washington,Estimate,60
Maine,Washington,Margin of Error,38
Maine,West Virginia,Estimate,4
Maine,West Virginia,Margin of Error,17
Maine,Wisconsin,Estimate,35
Maine,Wisconsin,Margin of Error,32
Maryland,Alabama,Estimate,230
Maryland,Alabama,Margin of Error,96
Maryland,Alaska,Estimate,15
Maryland,Alaska,Margin of Error,23
Maryland,Arizona,Estimate,65
Maryland,Arizona,Margin of Error,47
Maryland,Arkansas,Estimate,25
Maryland,Arkansas,Margin of Error,30
Maryland,California,Estimate,995
Maryland,California,Margin of Error,257
Maryland,Colorado,Estimate,210
Maryland,Colorado,Margin of Error,106
Maryland,Connecticut,Estimate,305
Maryland,Connecticut,Margin of Error,117
Maryland,Delaware,Estimate,"21,800"
Maryland,Delaware,Margin of Error,977
Maryland,District of Columbia,Estimate,"312,355"
Maryland,District of Columbia,Margin of Error,"3,736"
Maryland,Florida,Estimate,"1,020"
Maryland,Florida,Margin of Error,231
Maryland,Georgia,Estimate,500
Maryland,Georgia,Margin of Error,125
Maryland,Hawaii,Estimate,80
Maryland,Hawaii,Margin of Error,76
Maryland,Illinois,Estimate,370
Maryland,Illinois,Margin of Error,135
Maryland,Indiana,Estimate,175
Maryland,Indiana,Margin of Error,86
Maryland,Iowa,Estimate,75
Maryland,Iowa,Margin of Error,55
Maryland,Kansas,Estimate,50
Maryland,Kansas,Margin of Error,51
Maryland,Kentucky,Estimate,75
Maryland,Kentucky,Margin of Error,44
Maryland,Louisiana,Estimate,165
Maryland,Louisiana,Margin of Error,79
Maryland,Maine,Estimate,50
Maryland,Maine,Margin of Error,51
Maryland,Maryland,Estimate,"2,359,410"
Maryland,Maryland,Margin of Error,"6,234"
Maryland,Massachusetts,Estimate,775
Maryland,Massachusetts,Margin of Error,179
Maryland,Michigan,Estimate,440
Maryland,Michigan,Margin of Error,161
Maryland,Minnesota,Estimate,80
Maryland,Minnesota,Margin of Error,47
Maryland,Mississippi,Estimate,75
Maryland,Mississippi,Margin of Error,58
Maryland,Missouri,Estimate,225
Maryland,Missouri,Margin of Error,98
Maryland,Montana,Estimate,35
Maryland,Montana,Margin of Error,44
Maryland,Nebraska,Estimate,20
Maryland,Nebraska,Margin of Error,27
Maryland,Nevada,Estimate,75
Maryland,Nevada,Margin of Error,76
Maryland,New Hampshire,Estimate,100
Maryland,New Hampshire,Margin of Error,67
Maryland,New Jersey,Estimate,"1,775"
Maryland,New Jersey,Margin of Error,293
Maryland,New Mexico,Estimate,45
Maryland,New Mexico,Margin of Error,40
Maryland,New York,Estimate,"2,710"
Maryland,New York,Margin of Error,411
Maryland,North Carolina,Estimate,840
Maryland,North Carolina,Margin of Error,215
Maryland,North Dakota,Estimate,70
Maryland,North Dakota,Margin of Error,81
Maryland,Ohio,Estimate,435
Maryland,Ohio,Margin of Error,132
Maryland,Oklahoma,Estimate,55
Maryland,Oklahoma,Margin of Error,41
Maryland,Oregon,Estimate,65
Maryland,Oregon,Margin of Error,50
Maryland,Pennsylvania,Estimate,"13,885"
Maryland,Pennsylvania,Margin of Error,740
Maryland,Rhode Island,Estimate,100
Maryland,Rhode Island,Margin of Error,72
Maryland,South Carolina,Estimate,95
Maryland,South Carolina,Margin of Error,48
Maryland,Tennessee,Estimate,190
Maryland,Tennessee,Margin of Error,105
Maryland,Texas,Estimate,760
Maryland,Texas,Margin of Error,177
Maryland,Utah,Estimate,15
Maryland,Utah,Margin of Error,23
Maryland,Vermont,Estimate,15
Maryland,Vermont,Margin of Error,21
Maryland,Virginia,Estimate,"126,245"
Maryland,Virginia,Margin of Error,"2,313"
Maryland,Washington,Estimate,250
Maryland,Washington,Margin of Error,91
Maryland,West Virginia,Estimate,"5,625"
Maryland,West Virginia,Margin of Error,468
Maryland,Wisconsin,Estimate,110
Maryland,Wisconsin,Margin of Error,74
Maryland,Wyoming,Estimate,35
Maryland,Wyoming,Margin of Error,42
Massachusetts,Alabama,Estimate,80
Massachusetts,Alabama,Margin of Error,59
Massachusetts,Alaska,Estimate,45
Massachusetts,Alaska,Margin of Error,41
Massachusetts,Arizona,Estimate,200
Massachusetts,Arizona,Margin of Error,108
Massachusetts,Arkansas,Estimate,45
Massachusetts,Arkansas,Margin of Error,39
Massachusetts,California,Estimate,"1,110"
Massachusetts,California,Margin of Error,200
Massachusetts,Colorado,Estimate,130
Massachusetts,Colorado,Margin of Error,57
Massachusetts,Connecticut,Estimate,"29,545"
Massachusetts,Connecticut,Margin of Error,"1,111"
Massachusetts,Delaware,Estimate,65
Massachusetts,Delaware,Margin of Error,48
Massachusetts,District of Columbia,Estimate,410
Massachusetts,District of Columbia,Margin of Error,132
Massachusetts,Florida,Estimate,835
Massachusetts,Florida,Margin of Error,208
Massachusetts,Georgia,Estimate,390
Massachusetts,Georgia,Margin of Error,141
Massachusetts,Hawaii,Estimate,130
Massachusetts,Hawaii,Margin of Error,73
Massachusetts,Idaho,Estimate,30
Massachusetts,Idaho,Margin of Error,37
Massachusetts,Illinois,Estimate,650
Massachusetts,Illinois,Margin of Error,144
Massachusetts,Indiana,Estimate,235
Massachusetts,Indiana,Margin of Error,121
Massachusetts,Iowa,Estimate,80
Massachusetts,Iowa,Margin of Error,80
Massachusetts,Kansas,Estimate,20
Massachusetts,Kansas,Margin of Error,26
Massachusetts,Kentucky,Estimate,60
Massachusetts,Kentucky,Margin of Error,51
Massachusetts,Louisiana,Estimate,185
Massachusetts,Louisiana,Margin of Error,98
Massachusetts,Maine,Estimate,"1,650"
Massachusetts,Maine,Margin of Error,297
Massachusetts,Maryland,Estimate,565
Massachusetts,Maryland,Margin of Error,154
Massachusetts,Massachusetts,Estimate,"3,065,805"
Massachusetts,Massachusetts,Margin of Error,"7,762"
Massachusetts,Michigan,Estimate,215
Massachusetts,Michigan,Margin of Error,121
Massachusetts,Minnesota,Estimate,200
Massachusetts,Minnesota,Margin of Error,86
Massachusetts,Mississippi,Estimate,50
Massachusetts,Mississippi,Margin of Error,41
Massachusetts,Missouri,Estimate,270
Massachusetts,Missouri,Margin of Error,138
Massachusetts,Montana,Estimate,35
Massachusetts,Montana,Margin of Error,52
Massachusetts,Nebraska,Estimate,50
Massachusetts,Nebraska,Margin of Error,42
Massachusetts,Nevada,Estimate,55
Massachusetts,Nevada,Margin of Error,44
Massachusetts,New Hampshire,Estimate,"29,950"
Massachusetts,New Hampshire,Margin of Error,"1,376"
Massachusetts,New Jersey,Estimate,"1,620"
Massachusetts,New Jersey,Margin of Error,275
Massachusetts,New Mexico,Estimate,40
Massachusetts,New Mexico,Margin of Error,28
Massachusetts,New York,Estimate,"6,765"
Massachusetts,New York,Margin of Error,576
Massachusetts,North Carolina,Estimate,495
Massachusetts,North Carolina,Margin of Error,122
Massachusetts,Ohio,Estimate,320
Massachusetts,Ohio,Margin of Error,127
Massachusetts,Oklahoma,Estimate,65
Massachusetts,Oklahoma,Margin of Error,45
Massachusetts,Oregon,Estimate,10
Massachusetts,Oregon,Margin of Error,19
Massachusetts,Pennsylvania,Estimate,875
Massachusetts,Pennsylvania,Margin of Error,199
Massachusetts,Rhode Island,Estimate,"38,785"
Massachusetts,Rhode Island,Margin of Error,"1,299"
Massachusetts,South Carolina,Estimate,160
Massachusetts,South Carolina,Margin of Error,81
Massachusetts,South Dakota,Estimate,25
Massachusetts,South Dakota,Margin of Error,42
Massachusetts,Tennessee,Estimate,100
Massachusetts,Tennessee,Margin of Error,57
Massachusetts,Texas,Estimate,640
Massachusetts,Texas,Margin of Error,178
Massachusetts,Utah,Estimate,125
Massachusetts,Utah,Margin of Error,81
Massachusetts,Vermont,Estimate,"2,355"
Massachusetts,Vermont,Margin of Error,385
Massachusetts,Virginia,Estimate,675
Massachusetts,Virginia,Margin of Error,164
Massachusetts,Washington,Estimate,205
Massachusetts,Washington,Margin of Error,110
Massachusetts,West Virginia,Estimate,20
Massachusetts,West Virginia,Margin of Error,23
Massachusetts,Wisconsin,Estimate,170
Massachusetts,Wisconsin,Margin of Error,78
Massachusetts,Wyoming,Estimate,25
Massachusetts,Wyoming,Margin of Error,34
Massachusetts,Puerto Rico,Estimate,10
Massachusetts,Puerto Rico,Margin of Error,14
Michigan,Alabama,Estimate,255
Michigan,Alabama,Margin of Error,110
Michigan,Alaska,Estimate,85
Michigan,Alaska,Margin of Error,48
Michigan,Arizona,Estimate,485
Michigan,Arizona,Margin of Error,126
Michigan,Arkansas,Estimate,235
Michigan,Arkansas,Margin of Error,124
Michigan,California,Estimate,"1,330"
Michigan,California,Margin of Error,235
Michigan,Colorado,Estimate,350
Michigan,Colorado,Margin of Error,125
Michigan,Connecticut,Estimate,155
Michigan,Connecticut,Margin of Error,58
Michigan,Delaware,Estimate,55
Michigan,Delaware,Margin of Error,47
Michigan,District of Columbia,Estimate,335
Michigan,District of Columbia,Margin of Error,113
Michigan,Florida,Estimate,"1,770"
Michigan,Florida,Margin of Error,321
Michigan,Georgia,Estimate,715
Michigan,Georgia,Margin of Error,160
Michigan,Hawaii,Estimate,70
Michigan,Hawaii,Margin of Error,44
Michigan,Idaho,Estimate,20
Michigan,Idaho,Margin of Error,22
Michigan,Illinois,Estimate,"5,515"
Michigan,Illinois,Margin of Error,460
Michigan,Indiana,Estimate,"27,070"
Michigan,Indiana,Margin of Error,870
Michigan,Iowa,Estimate,495
Michigan,Iowa,Margin of Error,120
Michigan,Kansas,Estimate,205
Michigan,Kansas,Margin of Error,86
Michigan,Kentucky,Estimate,690
Michigan,Kentucky,Margin of Error,146
Michigan,Louisiana,Estimate,185
Michigan,Louisiana,Margin of Error,92
Michigan,Maine,Estimate,85
Michigan,Maine,Margin of Error,55
Michigan,Maryland,Estimate,515
Michigan,Maryland,Margin of Error,151
Michigan,Massachusetts,Estimate,335
Michigan,Massachusetts,Margin of Error,104
Michigan,Michigan,Estimate,"4,170,250"
Michigan,Michigan,Margin of Error,"11,036"
Michigan,Minnesota,Estimate,870
Michigan,Minnesota,Margin of Error,210
Michigan,Mississippi,Estimate,220
Michigan,Mississippi,Margin of Error,73
Michigan,Missouri,Estimate,530
Michigan,Missouri,Margin of Error,125
Michigan,Montana,Estimate,95
Michigan,Montana,Margin of Error,53
Michigan,Nebraska,Estimate,405
Michigan,Nebraska,Margin of Error,129
Michigan,Nevada,Estimate,225
Michigan,Nevada,Margin of Error,66
Michigan,New Hampshire,Estimate,45
Michigan,New Hampshire,Margin of Error,30
Michigan,New Jersey,Estimate,535
Michigan,New Jersey,Margin of Error,129
Michigan,New Mexico,Estimate,105
Michigan,New Mexico,Margin of Error,52
Michigan,New York,Estimate,"1,145"
Michigan,New York,Margin of Error,200
Michigan,North Carolina,Estimate,655
Michigan,North Carolina,Margin of Error,150
Michigan,North Dakota,Estimate,90
Michigan,North Dakota,Margin of Error,55
Michigan,Ohio,Estimate,"23,305"
Michigan,Ohio,Margin of Error,"1,074"
Michigan,Oklahoma,Estimate,270
Michigan,Oklahoma,Margin of Error,118
Michigan,Oregon,Estimate,55
Michigan,Oregon,Margin of Error,33
Michigan,Pennsylvania,Estimate,910
Michigan,Pennsylvania,Margin of Error,171
Michigan,Rhode Island,Estimate,80
Michigan,Rhode Island,Margin of Error,48
Michigan,South Carolina,Estimate,325
Michigan,South Carolina,Margin of Error,120
Michigan,South Dakota,Estimate,55
Michigan,South Dakota,Margin of Error,34
Michigan,Tennessee,Estimate,835
Michigan,Tennessee,Margin of Error,176
Michigan,Texas,Estimate,"1,370"
Michigan,Texas,Margin of Error,228
Michigan,Utah,Estimate,155
Michigan,Utah,Margin of Error,83
Michigan,Vermont,Estimate,35
Michigan,Vermont,Margin of Error,42
Michigan,Virginia,Estimate,565
Michigan,Virginia,Margin of Error,131
Michigan,Washington,Estimate,325
Michigan,Washington,Margin of Error,106
Michigan,West Virginia,Estimate,105
Michigan,West Virginia,Margin of Error,62
Michigan,Wisconsin,Estimate,"8,355"
Michigan,Wisconsin,Margin of Error,380
Michigan,Wyoming,Estimate,110
Michigan,Wyoming,Margin of Error,57
Michigan,Puerto Rico,Estimate,30
Michigan,Puerto Rico,Margin of Error,36
Minnesota,Alabama,Estimate,50
Minnesota,Alabama,Margin of Error,36
Minnesota,Alaska,Estimate,185
Minnesota,Alaska,Margin of Error,69
Minnesota,Arizona,Estimate,205
Minnesota,Arizona,Margin of Error,74
Minnesota,Arkansas,Estimate,75
Minnesota,Arkansas,Margin of Error,69
Minnesota,California,Estimate,890
Minnesota,California,Margin of Error,149
Minnesota,Colorado,Estimate,275
Minnesota,Colorado,Margin of Error,93
Minnesota,Connecticut,Estimate,145
Minnesota,Connecticut,Margin of Error,67
Minnesota,Delaware,Estimate,10
Minnesota,Delaware,Margin of Error,18
Minnesota,District of Columbia,Estimate,120
Minnesota,District of Columbia,Margin of Error,58
Minnesota,Florida,Estimate,470
Minnesota,Florida,Margin of Error,126
Minnesota,Georgia,Estimate,475
Minnesota,Georgia,Margin of Error,121
Minnesota,Hawaii,Estimate,75
Minnesota,Hawaii,Margin of Error,50
Minnesota,Idaho,Estimate,20
Minnesota,Idaho,Margin of Error,22
Minnesota,Illinois,Estimate,"1,345"
Minnesota,Illinois,Margin of Error,203
Minnesota,Indiana,Estimate,215
Minnesota,Indiana,Margin of Error,89
Minnesota,Iowa,Estimate,"4,085"
Minnesota,Iowa,Margin of Error,353
Minnesota,Kansas,Estimate,205
Minnesota,Kansas,Margin of Error,89
Minnesota,Kentucky,Estimate,135
Minnesota,Kentucky,Margin of Error,69
Minnesota,Louisiana,Estimate,120
Minnesota,Louisiana,Margin of Error,66
Minnesota,Maine,Estimate,35
Minnesota,Maine,Margin of Error,39
Minnesota,Maryland,Estimate,160
Minnesota,Maryland,Margin of Error,81
Minnesota,Massachusetts,Estimate,220
Minnesota,Massachusetts,Margin of Error,84
Minnesota,Michigan,Estimate,375
Minnesota,Michigan,Margin of Error,96
Minnesota,Minnesota,Estimate,"2,611,705"
