A302100 - Total Workers (1) (Workers 16 years and over),,,
Current date: 5/28/2017 10:35:29 AM (Eastern Daylight Time),,,
RESIDENCE,WORKPLACE,Output,Workers 16 and Over
Arizona,Virginia,Margin of Error,126
Arizona,Washington,Estimate,755
Arizona,Washington,Margin of Error,158
Arizona,West Virginia,Estimate,35
Arizona,West Virginia,Margin of Error,44
Arizona,Wisconsin,Estimate,380
Arizona,Wisconsin,Margin of Error,133
Arizona,Wyoming,Estimate,305
Arizona,Wyoming,Margin of Error,126
Arizona,Puerto Rico,Estimate,15
Arizona,Puerto Rico,Margin of Error,30
Arkansas,Alabama,Estimate,350
Arkansas,Alabama,Margin of Error,138
Arkansas,Alaska,Estimate,80
Arkansas,Alaska,Margin of Error,76
Arkansas,Arizona,Estimate,130
Arkansas,Arizona,Margin of Error,63
Arkansas,Arkansas,Estimate,"1,185,535"
Arkansas,Arkansas,Margin of Error,"5,160"
Arkansas,California,Estimate,350
Arkansas,California,Margin of Error,138
Arkansas,Colorado,Estimate,120
Arkansas,Colorado,Margin of Error,64
Arkansas,Connecticut,Estimate,15
Arkansas,Connecticut,Margin of Error,17
Arkansas,District of Columbia,Estimate,70
Arkansas,District of Columbia,Margin of Error,54
Arkansas,Florida,Estimate,330
Arkansas,Florida,Margin of Error,130
Arkansas,Georgia,Estimate,280
Arkansas,Georgia,Margin of Error,108
Arkansas,Hawaii,Estimate,10
Arkansas,Hawaii,Margin of Error,15
Arkansas,Illinois,Estimate,545
Arkansas,Illinois,Margin of Error,179
Arkansas,Indiana,Estimate,190
Arkansas,Indiana,Margin of Error,83
Arkansas,Iowa,Estimate,155
Arkansas,Iowa,Margin of Error,95
Arkansas,Kansas,Estimate,275
Arkansas,Kansas,Margin of Error,108
Arkansas,Kentucky,Estimate,205
Arkansas,Kentucky,Margin of Error,93
Arkansas,Louisiana,Estimate,"2,825"
Arkansas,Louisiana,Margin of Error,361
Arkansas,Maine,Estimate,10
Arkansas,Maine,Margin of Error,15
Arkansas,Maryland,Estimate,20
Arkansas,Maryland,Margin of Error,27
Arkansas,Massachusetts,Estimate,15
Arkansas,Massachusetts,Margin of Error,21
Arkansas,Michigan,Estimate,150
Arkansas,Michigan,Margin of Error,60
Arkansas,Minnesota,Estimate,60
Arkansas,Minnesota,Margin of Error,48
Arkansas,Mississippi,Estimate,"2,410"
Arkansas,Mississippi,Margin of Error,330
Arkansas,Missouri,Estimate,"6,310"
Arkansas,Missouri,Margin of Error,556
Arkansas,Nebraska,Estimate,235
Arkansas,Nebraska,Margin of Error,99
Arkansas,Nevada,Estimate,60
Arkansas,Nevada,Margin of Error,42
Arkansas,New Jersey,Estimate,180
Arkansas,New Jersey,Margin of Error,89
Arkansas,New Mexico,Estimate,10
Arkansas,New Mexico,Margin of Error,14
Arkansas,New York,Estimate,135
Arkansas,New York,Margin of Error,69
Arkansas,North Carolina,Estimate,120
Arkansas,North Carolina,Margin of Error,65
Arkansas,Ohio,Estimate,80
Arkansas,Ohio,Margin of Error,56
Arkansas,Oklahoma,Estimate,"4,395"
Arkansas,Oklahoma,Margin of Error,504
Arkansas,Oregon,Estimate,45
Arkansas,Oregon,Margin of Error,46
Arkansas,Pennsylvania,Estimate,135
Arkansas,Pennsylvania,Margin of Error,92
Arkansas,South Carolina,Estimate,100
Arkansas,South Carolina,Margin of Error,65
Arkansas,South Dakota,Estimate,45
Arkansas,South Dakota,Margin of Error,44
Arkansas,Tennessee,Estimate,"9,190"
Arkansas,Tennessee,Margin of Error,624
Arkansas,Texas,Estimate,"13,725"
Arkansas,Texas,Margin of Error,821
Arkansas,Utah,Estimate,60
Arkansas,Utah,Margin of Error,49
Arkansas,Vermont,Estimate,10
Arkansas,Vermont,Margin of Error,16
Arkansas,Virginia,Estimate,140
Arkansas,Virginia,Margin of Error,109
Arkansas,Washington,Estimate,105
Arkansas,Washington,Margin of Error,56
Arkansas,West Virginia,Estimate,35
Arkansas,West Virginia,Margin of Error,36
Arkansas,Wisconsin,Estimate,185
Arkansas,Wisconsin,Margin of Error,90
Arkansas,Wyoming,Estimate,30
Arkansas,Wyoming,Margin of Error,40
California,Alabama,Estimate,275
California,Alabama,Margin of Error,124
California,Alaska,Estimate,800
California,Alaska,Margin of Error,207
California,Arizona,Estimate,"6,720"
California,Arizona,Margin of Error,598
California,Arkansas,Estimate,495
California,Arkansas,Margin of Error,166
California,California,Estimate,"16,189,640"
California,California,Margin of Error,"18,421"
California,Colorado,Estimate,"2,105"
California,Colorado,Margin of Error,424
California,Connecticut,Estimate,510
California,Connecticut,Margin of Error,167
California,Delaware,Estimate,35
California,Delaware,Margin of Error,39
California,District of Columbia,Estimate,800
California,District of Columbia,Margin of Error,198
California,Florida,Estimate,"1,800"
California,Florida,Margin of Error,282
California,Georgia,Estimate,"1,350"
California,Georgia,Margin of Error,222
California,Hawaii,Estimate,"1,420"
California,Hawaii,Margin of Error,279
California,Idaho,Estimate,245
California,Idaho,Margin of Error,119
California,Illinois,Estimate,"2,380"
California,Illinois,Margin of Error,343
California,Indiana,Estimate,450
California,Indiana,Margin of Error,144
California,Iowa,Estimate,365
California,Iowa,Margin of Error,126
California,Kansas,Estimate,240
California,Kansas,Margin of Error,108
California,Kentucky,Estimate,190
California,Kentucky,Margin of Error,97
California,Louisiana,Estimate,880
California,Louisiana,Margin of Error,206
California,Maine,Estimate,100
California,Maine,Margin of Error,58
California,Maryland,Estimate,705
California,Maryland,Margin of Error,170
California,Massachusetts,Estimate,985
California,Massachusetts,Margin of Error,212
California,Michigan,Estimate,880
California,Michigan,Margin of Error,204
California,Minnesota,Estimate,780
California,Minnesota,Margin of Error,209
California,Mississippi,Estimate,270
California,Mississippi,Margin of Error,145
California,Missouri,Estimate,855
California,Missouri,Margin of Error,196
California,Montana,Estimate,215
California,Montana,Margin of Error,87
California,Nebraska,Estimate,395
